site,genus,species,genus.update,species.update,native/exotic,invasive/noxious,pollination (wind/animal/self),animal_type,lifeform,duration,resources,notes
arnell,Poa,annua,,,,,wind,,,,,
arnell,Poa,compressa,,,,,wind,,,,,
arnell,Poa,nemoralis,,,,,wind,,,,,
arnell,Poa,pratensis,,,,,wind,,,,,
arnell,Poa,trivialis,,,,,wind,,,,,
arnell,Polemonium,caeruleum,,,,,insect,,,,,
arnell,Polygala,amarella,,,,,animal,,,,,
arnell,Polygala,vulgaris,,,,,animal,,,,,
arnell,Polygonatum,multiflorum,,,,,animal,,,,,
arnell,Polygonatum,odoratum,,,,,animal,,,,,
arnell,Polygonum,aviculare,,,,,animal/wind,,,,,
arnell,Populus,balsamifera,,,,,animal/wind,,,,,
arnell,Populus,tremula,,,,,animal/wind,,,,,
arnell,Potamogeton,alpinus,,,,,animal/wind,,,,,
arnell,Potamogeton,gramineus,,,,,animal/wind,,,,,
arnell,Potamogeton,natans,,,,,animal/wind,,,,,
arnell,Potentilla,anserina,,,,,animal,,,,,
arnell,Potentilla,argentea,,,,,animal,,,,,
arnell,Potentilla,crantzii,,,,,animal,,,,,
arnell,Potentilla,erecta,,,,,animal,,,,,
arnell,Potentilla,norvegica,,,,,animal,,,,,
arnell,Potentilla,reptans,,,,,animal,,,,,
arnell,Primula,farinosa,,,,,animal,,,,,
arnell,Primula,veris,,,,,animal,,,,,
arnell,Prunella,vulgaris,,,,,insect,,,,,
arnell,Prunus,cerasus,,,,,animal,,,,,
arnell,Prunus,domestica,,,,,animal,,,,,
arnell,Prunus,padus,,,,,animal,,,,,
arnell,Prunus,spinosa,,,,,animal,,,,,
arnell,Pulmonaria,obscura,,,,,animal,,,,,
arnell,Puschkinia,scilloides,,,,,animal,,,,,
arnell,Pyrola,chlorantha,,,,,animal,,,,,
arnell,Pyrola,minor,,,,,insect,,,,,
arnell,Pyrola,rotundifolia,,,,,insect,,,,,
arnell,Pyrus,communis,,,,,animal,,,,,
arnell,Quercus,robur,,,,,wind,,,,,
arnell,Ranunculus,acris,,,,,animal,,,,,
arnell,Ranunculus,auricomus,,,,,animal,,,,,
arnell,Ranunculus,bulbosus,,,,,animal,,,,,
arnell,Ranunculus,cassubicus,,,,,animal,,,,,
arnell,Ranunculus,ficaria,,,,,animal,,,,,
arnell,Ranunculus,flammula,,,,,animal,,,,,
arnell,Ranunculus,lingua,,,,,animal,,,,,
arnell,Ranunculus,polyanthemos,,,,,animal,,,,,
arnell,Ranunculus,repens,,,,,animal,,,,,
arnell,Rhamnus,cathartica,,,,,animal,,,,,
arnell,Rhinanthus,minor,,,,,animal,,,,,
arnell,Rhinanthus,serotinus,,,,,animal,,,,,
arnell,Rhododendron,tomentosum,,,,,animal,,,,,
arnell,Ribes,alpinum,,,,,animal,,,,,
arnell,Ribes,aureum,,,,,animal,,,,,
arnell,Ribes,uva-crispa,,,,,animal,,,,,
arnell,Rorippa,palustris,,,,,insect/wind,,,,,
arnell,Rubus,arcticus,,,,,animal,,,,,
arnell,Rubus,idaeus,,,,,animal,,,,,
arnell,Rubus,saxatilis,,,,,animal,,,,,
arnell,Rumex,acetosa,,,,,animal/wind,,,,,
arnell,Rumex,acetosella,,,,,animal/wind,,,,,
arnell,Rumex,longifolius,,,,,animal/wind,,,,,
arnell,Sagina,nodosa,,,,,animal,,,,,
arnell,Sagina,procumbens,,,,,animal,,,,,
arnell,Sagittaria,sagittifolia,,,,,insect,,,,,
arnell,Salix,aurita,,,,,animal/wind,,,,,
arnell,Salix,caprea,,,,,animal/wind,,,,,
arnell,Salix,daphnoides,,,,,animal/wind,,,,,
arnell,Salix,fragilis,,,,,animal/wind,,,,,
arnell,Salix,myrsinifolia,,,,,animal/wind,,,,,
arnell,Salix,pentandra,,,,,animal/wind,,,,,
arnell,Salix,purpurea,,,,,animal/wind,,,,,
arnell,Salix,repens,,,,,animal/wind,,,,,
arnell,Salix,viminalis,,,,,animal/wind,,,,,
arnell,Sambucus,nigra,,,,,animal,,,,,
arnell,Sambucus,racemosa,,,,,animal,,,,,
arnell,Sanicula,europaea,,,,,wind,,,,,
arnell,Saponaria,officinalis,,,,,animal,,,,,
arnell,Satureja,acinos,,,,,NA,,,,,
arnell,Satureja,vulgaris,,,,,NA,,,,,
arnell,Saxifraga,granulata,,,,,animal,,,,,
arnell,Saxifraga,tridactylites,,,,,animal,,,,,
arnell,Scheuchzeria,palustris,,,,,wind,,,,,
arnell,Schoenoplectus,maritimus,,,,,wind,,,,,
arnell,Scilla,sibirica,,,,,NA,,,,,
arnell,Scirpus,sylvaticus,,,,,wind,,,,,
arnell,Scleranthus,annuus,,,,,insect,,,,,
arnell,Scorzonera,humilis,,,,,animal,,,,,
