phylonum	name	genus	name	ThorPA	HosmerAbun	EatonAbun	PrimackAbun	Hosmer01	HomserData2	HosmerData3	HosmerData4	Waif1	Waif2	DeltaAbun_cont	Deer1	Deer2	DeerSp	PrimPA	Native	IPANEinvstat	IPANEinvstatAll	IPANEinvstat1	IPANEinvstatNat	Habitat	Habitat1_4	Habitat1	Habitat2	Habitat3	Habitat4	duration	height	minffd	mintemp	sdabun	sdperiod	sdsprdrate	sdvigor	vegsprdrate	seedwt	ThorMFD	HosmMFD	PrimMFD	SpringTemp	absSpringTemp	mWinterTemp	comWinterTemp\	WinterTemp	absWinterTemp	TPdeltaFlwr	HPdeltaFlwr	HPdeltaFlwr_2	THdeltaFlwr	syndrome1	syndrome2	syndromeBinary	sexuality	symmetry	nectaries	size	AvgLat	MinLat	tMinLat	MaxLat	tMaxlat	SDLat	tSDLat	tseedwt	tsize	tminffd	theight	habit	HabiatBinary	GF	Decid_Egreen	Needle_Broad	C3C4	N2fixer	logLL	logLMA	logNmass	logNarea	logPmass	logParea	logAmass	logAarea	logGs	logRdmass	logRdarea
450	Sarracenia_purpurea	Sarracenia	purpurea	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.2	127	-52	missing	missing	missing	missing	missing	1.91	156.2	152.3333333	151.5	-0.7	0.7	-0.7	-0.7	-0.7	0.7	4.7	0.833333333	0.833333333	-3.866666667	7	3	1	0	0	0	5.1	42.31658125	30.2328	1.480478371	60.45	1.781396305	4.568471526	0.659770922	0.281033367	0.707570176	11.26942767	-0.698970004	3	1	H	E	B	C3	N	1.477121255	2.10720997	0.056904851	0.164114821	missing	missing	1.357934847	0.465382851	2.158362492	missing	missing
204	Saxifraga_virginiensis	Saxifraga	virginiensis	1	6	2	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.4	127	-52	missing	missing	missing	missing	missing	0.239	103.8571429	107.9411765	117.5	-0.5	0.5	-0.7	-0.7	-0.7	0.7	-13.64285714	-9.558823529	-9.558823529	4.084033613	10	2	1	0	0	1	0.6	39.10609469	30.8728	1.489576019	48.7675	1.688130493	3.307418055	0.519489093	-0.621602099	-0.22184875	11.26942767	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
174	Silene_antirrhina	Silene	antirrhina	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	2	2	0	1	0	0	1	0.6	127	-46	missing	missing	missing	missing	missing	0.1	156	160.1666667	144	missing	missing	missing	missing	missing	missing	12	16.16666667	16.16666667	4.166666667	5	3	1	0	0	1	missing	38.65044999	26.4937	1.423142614	59.458	1.774210297	4.673552304	0.669647107	-1	missing	11.26942767	-0.22184875	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
171	Silene_caroliniana	Silene	caroliniana	1	6	3	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.8	225	-36	missing	missing	missing	missing	missing	missing	147.4285714	143.4375	145.75	-0.6	0.6	-0.7	-0.7	-0.7	0.7	1.678571429	-2.3125	-2.3125	-3.991071429	6	3	1	0	0	1	2.5	38.02459502	30.6683	1.486689703	42.4855	1.628240734	2.565602012	0.409189288	missing	0.397940009	15	-0.096910013	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
58	Spiranthes_cernua	Spiranthes	cernua	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	1.5	90	-52	2	1	1	1	0	0.004	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	7	3	1	0	1	1	1.3	39.35377135	28.3443	1.452465736	51.283	1.709973423	4.041852681	0.60658048	-2.397940009	0.113943352	9.486832981	0.176091259	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
30	Trillium_cernuum	Trillium	cernuum	1	5	2	1	0	0	0	0	0	0	-4	yes	yes	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.4	127	-47	missing	missing	missing	missing	missing	missing	140.6	134.9375	140.25	-0.7	0.7	-0.6	-0.6	-0.6	0.6	0.35	-5.3125	-5.3125	-5.6625	10	2	1	0	0	1	5.1	43.91726068	39.0775	1.591926772	52.867	1.723184667	2.406705343	0.381422922	missing	0.707570176	11.26942767	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
476	Vaccinium_oxycoccos	Vaccinium	oxycoccos	1	4	1	0	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.1	127	-52	missing	missing	missing	missing	missing	0.91	184.75	170.8333333	192	missing	missing	missing	missing	missing	missing	-7.25	-21.16666667	-21.16666667	-13.91666667	10	2	1	0	0	1	1	45.2880957	39.1019	1.592197861	59.583	1.775122366	3.747717689	0.573766869	-0.040958608	0	11.26942767	-1	2	missing	S	E	missing	missing	N	missing	1.999415419	0.185636577	0.185051996	-1.044151964	-1.044736545	missing	missing	missing	missing	missing
27	Veratrum_viride	Veratrum	viride	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	2	127	-47	missing	missing	missing	missing	missing	missing	162.5	152.7333333	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	-9.766666667	10	2	1	0	0	1	1.3	42.06942621	34.8344	1.542008334	64	1.806179974	4.631381508	0.665710557	missing	0.113943352	11.26942767	0.301029996	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
707	Vernonia_noveboracensis	Vernonia	noveboracensis	1	5	1	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	6.6	140	-43	1	2	2	2	0	1.512	213	217.0714286	196	missing	missing	missing	missing	missing	missing	17	21.07142857	21.07142857	4.071428571	10	2	1	0	0	1	1.9	37.42255841	29.6053	1.471369466	42.9861	1.633328045	2.727491144	0.435763349	0.179551791	0.278753601	11.83215957	0.819543936	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
340	Agrimonia_gryposepala	Agrimonia	gryposepala	1	5	4	2	0	0	0	0	0	0	-3	missing	missing	missing	1	0	1	0	missing	0	1	1	1	0	0	0	3	1.5	127	-52	missing	missing	missing	missing	missing	1.814	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	10	2	1	0	0	0	0.6	41.70185692	32.5422	1.51244691	48.8	1.688419822	2.771028123	0.442640933	0.258637283	-0.22184875	11.26942767	0.176091259	3	1	H	missing	missing	missing	missing	missing	1.68613278	missing	missing	missing	missing	missing	missing	missing	missing	missing
