"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult","precintra","precinter"
"concord",NA,"ffd",1852,204,"1852-07-22","Monotropa","uniflora",0,NA,NA,366,1
"concord",NA,"ffd",1852,148,"1852-05-27","Myosotis","laxa",2,NA,NA,NA,1
"concord",NA,"ffd",1852,121,"1852-04-30","Myrica","gale",0,NA,NA,NA,2
"concord",NA,"ffd",1852,142,"1852-05-21","Nemopanthes","mucronata",2,NA,NA,NA,1
"concord",NA,"ffd",1852,182,"1852-06-30","Nepeta","cataria",0,NA,NA,NA,1
"concord",NA,"ffd",1852,168,"1852-06-16","Nuphar","microphyllum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,151,"1852-05-30","Nuphar","variegata",2,NA,NA,395,1
"concord",NA,"ffd",1852,171,"1852-06-19","Nymphoides","cordata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,180,"1852-06-28","Oenothera","biennis",0,NA,NA,NA,2
"concord",NA,"ffd",1852,163,"1852-06-11","Oenothera","perennis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,164,"1852-06-12","Orobanche","uniflora",0,NA,NA,NA,1
"concord",NA,"ffd",1852,165,"1852-06-13","Oxalis","europaea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,135,"1852-05-14","Oxalis","violacea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,195,"1852-07-13","Parthenocissus","quinquefolia",0,NA,NA,NA,2
"concord",NA,"ffd",1852,188,"1852-07-06","Pastinaca","sativa",0,NA,NA,NA,1
"concord",NA,"ffd",1852,147,"1852-05-26","Pedicularis","canadensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,200,"1852-07-18","Peltandra","virginica",1,NA,NA,NA,1
"concord",NA,"ffd",1852,202,"1852-07-20","Penthorum","sedoides",0,NA,NA,NA,1
"concord",NA,"ffd",1852,201,"1852-07-19","Phytolacca","americana",0,NA,NA,379,1
"concord",NA,"ffd",1852,237,"1852-08-24","Pilea","pumila",0,NA,NA,NA,2
"concord",NA,"ffd",1852,151,"1852-05-30","Plantago","lanceolata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,171,"1852-06-19","Pogonia","ophioglossoides",1,NA,NA,NA,1
"concord",NA,"ffd",1852,146,"1852-05-25","Polygala","pauciflora",0,NA,NA,372,1
"concord",NA,"ffd",1852,195,"1852-07-13","Polygala","sanguinea",2,NA,NA,NA,2
"concord",NA,"ffd",1852,252,"1852-09-08","Polygala","verticillata",0,NA,NA,NA,8
"concord",NA,"ffd",1852,195,"1852-07-13","Polygonum","aviculare",0,NA,NA,NA,2
"concord",NA,"ffd",1852,206,"1852-07-24","Polygonum","careyi",1,NA,NA,NA,1
"concord",NA,"ffd",1852,241,"1852-08-28","Polygonum","coccineum",0,NA,NA,NA,4
"concord",NA,"ffd",1852,184,"1852-07-02","Polygonum","convolvulus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,207,"1852-07-25","Polygonum","hydropiper",0,NA,NA,NA,1
"concord",NA,"ffd",1852,193,"1852-07-11","Polygonum","hydropiperoides",0,NA,NA,NA,1
"concord",NA,"ffd",1852,229,"1852-08-16","Polygonum","orientale",0,NA,NA,NA,3
"concord",NA,"ffd",1852,185,"1852-07-03","Polygonum","persicaria",0,NA,NA,NA,1
"concord",NA,"ffd",1852,183,"1852-07-01","Polygonum","sagittatum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,192,"1852-07-10","Portulaca","oleracea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,157,"1852-06-05","Potentilla","argentea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,124,"1852-05-03","Potentilla","canadensis",0,NA,NA,NA,2
"concord",NA,"ffd",1852,171,"1852-06-19","Potentilla","norvegica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,221,"1852-08-08","Prenanthes","alba",0,NA,NA,NA,2
"concord",NA,"ffd",1852,131,"1852-05-10","Prunus","americana",0,NA,NA,NA,1
"concord",NA,"ffd",1852,131,"1852-05-10","Prunus","cerasus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,148,"1852-05-27","Prunus","maritima",0,NA,NA,NA,1
"concord",NA,"ffd",1852,134,"1852-05-13","Prunus","pensylvanica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,151,"1852-05-30","Prunus","serotina",0,NA,NA,NA,1
"concord",NA,"ffd",1852,142,"1852-05-21","Prunus","pumila",2,NA,NA,NA,1
"concord",NA,"ffd",1852,175,"1852-06-23","Prunus","virginiana",0,NA,NA,NA,2
"concord",NA,"ffd",1852,171,"1852-06-19","Pyrola","chlorantha",2,NA,NA,NA,1
"concord",NA,"ffd",1852,146,"1852-05-25","Photinia","floribunda",2,NA,NA,NA,1
"concord",NA,"ffd",1852,146,"1852-05-25","Photinia","melanocarpa",2,NA,NA,NA,1
"concord",NA,"ffd",1852,138,"1852-05-17","Quercus","ilicifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,137,"1852-05-16","Ranunculus","bulbosus",0,NA,NA,354,2
"concord",NA,"ffd",1852,119,"1852-04-28","Ranunculus","fascicularis",0,NA,NA,372,1
"concord",NA,"ffd",1852,151,"1852-05-30","Ranunculus","flabellaris",2,NA,NA,NA,1
"concord",NA,"ffd",1852,148,"1852-05-27","Ranunculus","recurvatus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,163,"1852-06-11","Ranunculus","reptans",0,NA,NA,NA,1
"concord",NA,"ffd",1852,200,"1852-07-18","Raphanus","raphanistrum",1,NA,NA,NA,1
"concord",NA,"ffd",1852,198,"1852-07-16","Rhexia","virginica",0,NA,NA,NA,3
"concord",NA,"ffd",1852,139,"1852-05-18","Rhododendron","canadense",2,NA,NA,NA,1
"concord",NA,"ffd",1852,171,"1852-06-19","Rhododendron","viscosum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,133,"1852-05-12","Ribes","rubrum",2,NA,NA,NA,2
"concord",NA,"ffd",1852,161,"1852-06-09","Robinia","pseudoacacia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,191,"1852-07-09","Roripa","islandica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,199,"1852-07-17","Rosa","carolina",0,NA,NA,398,1
"concord",NA,"ffd",1852,175,"1852-06-23","Rosa","eglanteria",0,NA,NA,NA,2
"concord",NA,"ffd",1852,171,"1852-06-19","Rosa","nitida",0,NA,NA,NA,1
"concord",NA,"ffd",1852,231,"1852-08-18","Rudbeckia","laciniata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,142,"1852-05-21","Rumex","acetosella",0,NA,NA,NA,1
"concord",NA,"ffd",1852,168,"1852-06-16","Rumex","crispus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,178,"1852-06-26","Sagittaria","graminea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,173,"1852-06-21","Sambucus","canadensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,163,"1852-06-11","Sanicula","marilandica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,151,"1852-05-30","Sarracenia","purpurea",0,NA,NA,NA,1
"concord",NA,"ffd",1852,118,"1852-04-27","Saxifraga","virginiensis",0,NA,NA,371,1
"concord",NA,"ffd",1852,192,"1852-07-10","Scutellaria","epilobiifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Scutellaria","lateriflora",1,NA,NA,NA,1
"concord",NA,"ffd",1852,151,"1852-05-30","Senecio","aureus",0,NA,NA,371,1
"concord",NA,"ffd",1852,192,"1852-07-10","Sericocarpus","asteroides",2,NA,NA,NA,1
"concord",NA,"ffd",1852,167,"1852-06-15","Silene","antirrhina",0,NA,NA,NA,2
