"site","genus","species"
"fitter","Achillea","millefolium"
"konza","Achillea","millefolium"
"fitter","Rhinanthus","minor"
"fitter","Sanguisorba","minor"
"fitter","Vinca","minor"
"concord","Arctium","minus"
"fargo","Arctium","minus"
"fitter","Arctium","minus"
"konza","Ribes","missouriense"
"konza","Astragalus","missouriensis"
"konza","Escobaria","missouriensis"
"fargo","Grossularia","missouriensis"
"fargo","Solidago","missouriensis"
"konza","Solidago","missouriensis"
"konza","Onosmodium","molle"
"fargo","Crataegus","mollis"
"konza","Gaura","mollis"
"konza","Croton","monanthogynus"
"concord","Oxalis","montana"
"fitter","Veronica","montana"
"fitter","Epilobium","montanum"
"fargo","Leucocrinum","montanum"
"fitter","Malva","moschata"
"fitter","Adoxa","moschatellina"
"concord","Hibiscus","moscheutos"
"konza","Liatris","mucronata"
"concord","Nemopanthes","mucronata"
"konza","Quercus","muehlenbergii"
"konza","Dalea","multiflora"
"fitter","Cymbalaria","muralis"
"fitter","Mycelis","muralis"
"fitter","Hordeum","murinum"
"concord","Hypericum","mutilum"
"fitter","Alopecurus","myosuroides"
"fargo","Rheum","na"
"fargo","Euonymus","nanus"
"fitter","Rorippa","nasturtium-aquaticum"
"konza","Antennaria","neglecta"
"concord","Acer","negundo"
"fargo","Acer","negundo"
"fitter","Poa","nemoralis"
"concord","Solidago","nemoralis"
"fitter","Neottia","nidus-avis"
"fitter","Ballota","nigra"
"fitter","Centaurea","nigra"
"fargo","Juglans","nigra"
"fitter","Populus","nigra"
"fitter","Sambucus","nigra"
"konza","Hedyotis","nigricans"
"fitter","Ribes","nigrum"
"fitter","Verbascum","nigrum"
"concord","Rosa","nitida"
"fitter","Galanthus","nivalis"
"concord","Silene","noctiflora"
"fitter","Scrophularia","nodosa"
"concord","Potentilla","norvegica"
"fargo","Potentilla","norvegica"
"concord","Aster","novae-angliae"
"fargo","Symphyotrichum","novae-angliae"
"concord","Vernonia","noveboracensis"
"concord","Aster","novi-belgii"
"fitter","Aster","novi-belgii"
"concord","Aralia","nudicaulis"
"fargo","Aralia","nudicaulis"
"concord","Desmodium","nudiflorum"
"concord","Lysimachia","nummularia"
"fitter","Helianthemum","nummularium"
"fitter","Carduus","nutans"
"konza","Sorghastrum","nutrans"
"fargo","Monolepis","nuttalliana"
"konza","Evolvulus","nuttallianus"
"fargo","Oenothera","nuttallii"
"konza","Schrankia","nuttallii"
"konza","Zygadenus","nuttallii"
"fargo","Mirabilis","nyctaginea"
"konza","Mirabilis","nyctaginea"
"fargo","Ellisia","nyctelea"
"konza","Symphyotrichum","oblongifolium"
"concord","Gnaphalium","obtusifolium"
"konza","Gnaphalium","obtusifolium"
"concord","Rumex","obtusifolius"
"fitter","Rumex","obtusifolius"
"fargo","Onosmodium","occidentale"
"fargo","Androsace","occidentalis"
"fargo","Celtis","occidentalis"
"konza","Celtis","occidentalis"
"concord","Cephalanthus","occidentalis"
"fargo","Rubus","occidentalis"
"konza","Rubus","occidentalis"
"fargo","Symphoricarpos","occidentalis"
"fargo","Lathyrus","ochroleucus"
"concord","Solidago","odora"
"fargo","Hierochloe","odorata"
"fitter","Viola","odorata"
"fitter","Anthoxanthum","odoratum"
"fitter","Galium","odoratum"
"fargo","Ribes","odoratum"
"concord","Nasturtium","officinale"
"konza","Nasturtium","officinale"
"concord","Sisymbrium","officinale"
"fitter","Sisymbrium","officinale"
"fitter","Symphytum","officinale"
"concord","Taraxacum","officinale"
"fargo","Taraxacum","officinale"
"concord","Asparagus","officinalis"
"fargo","Asparagus","officinalis"
"fitter","Fumaria","officinalis"
"fitter","Galega","officinalis"
"fargo","Melilotus","officinalis"
"fitter","Melilotus","officinalis"
"concord","Saponaria","officinalis"
"fitter","Stachys","officinalis"
"concord","Veronica","officinalis"
"fitter","Veronica","officinalis"
"fitter","Pilosella","officinarum"
"konza","Tradescantia","ohiensis"
"concord","Portulaca","oleracea"
"fargo","Portulaca","oleracea"
